date,kind,time_et,source
2010-01-08,NFP,08:30,BLS rule (approximate)
2010-01-27,FOMC,14:00,Fed meeting calendar
2010-02-05,NFP,08:30,BLS rule (approximate)
2010-03-05,NFP,08:30,BLS rule (approximate)
2010-03-16,FOMC,14:00,Fed meeting calendar
2010-04-02,NFP,08:30,BLS rule (approximate)
2010-04-28,FOMC,14:00,Fed meeting calendar
2010-05-07,NFP,08:30,BLS rule (approximate)
2010-06-04,NFP,08:30,BLS rule (approximate)
2010-06-23,FOMC,14:00,Fed meeting calendar
2010-07-02,NFP,08:30,BLS rule (approximate)
2010-08-06,NFP,08:30,BLS rule (approximate)
2010-08-10,FOMC,14:00,Fed meeting calendar
2010-09-03,NFP,08:30,BLS rule (approximate)
2010-09-21,FOMC,14:00,Fed meeting calendar
2010-10-08,NFP,08:30,BLS rule (approximate)
2010-11-03,FOMC,14:00,Fed meeting calendar
2010-11-05,NFP,08:30,BLS rule (approximate)
2010-12-03,NFP,08:30,BLS rule (approximate)
2010-12-14,FOMC,14:00,Fed meeting calendar
2011-01-07,NFP,08:30,BLS rule (approximate)
2011-01-26,FOMC,14:00,Fed meeting calendar
2011-02-04,NFP,08:30,BLS rule (approximate)
2011-03-04,NFP,08:30,BLS rule (approximate)
2011-03-15,FOMC,14:00,Fed meeting calendar
2011-04-01,NFP,08:30,BLS rule (approximate)
2011-04-27,FOMC,14:00,Fed meeting calendar
2011-05-06,NFP,08:30,BLS rule (approximate)
2011-06-03,NFP,08:30,BLS rule (approximate)
2011-06-22,FOMC,14:00,Fed meeting calendar
2011-07-08,NFP,08:30,BLS rule (approximate)
2011-08-05,NFP,08:30,BLS rule (approximate)
2011-08-09,FOMC,14:00,Fed meeting calendar
2011-09-02,NFP,08:30,BLS rule (approximate)
2011-09-21,FOMC,14:00,Fed meeting calendar
2011-10-07,NFP,08:30,BLS rule (approximate)
2011-11-02,FOMC,14:00,Fed meeting calendar
2011-11-04,NFP,08:30,BLS rule (approximate)
2011-12-02,NFP,08:30,BLS rule (approximate)
2011-12-13,FOMC,14:00,Fed meeting calendar
2012-01-06,NFP,08:30,BLS rule (approximate)
2012-01-25,FOMC,14:00,Fed meeting calendar
2012-02-03,NFP,08:30,BLS rule (approximate)
2012-03-09,NFP,08:30,BLS rule (approximate)
2012-03-13,FOMC,14:00,Fed meeting calendar
2012-04-06,NFP,08:30,BLS rule (approximate)
2012-04-25,FOMC,14:00,Fed meeting calendar
2012-05-04,NFP,08:30,BLS rule (approximate)
2012-06-01,NFP,08:30,BLS rule (approximate)
2012-06-20,FOMC,14:00,Fed meeting calendar
2012-07-06,NFP,08:30,BLS rule (approximate)
2012-08-01,FOMC,14:00,Fed meeting calendar
2012-08-03,NFP,08:30,BLS rule (approximate)
2012-09-07,NFP,08:30,BLS rule (approximate)
2012-09-13,FOMC,14:00,Fed meeting calendar
2012-10-05,NFP,08:30,BLS rule (approximate)
2012-10-24,FOMC,14:00,Fed meeting calendar
2012-11-02,NFP,08:30,BLS rule (approximate)
2012-12-07,NFP,08:30,BLS rule (approximate)
2012-12-12,FOMC,14:00,Fed meeting calendar
2013-01-04,NFP,08:30,BLS rule (approximate)
2013-01-30,FOMC,14:00,Fed meeting calendar
2013-02-01,NFP,08:30,BLS rule (approximate)
2013-03-08,NFP,08:30,BLS rule (approximate)
2013-03-20,FOMC,14:00,Fed meeting calendar
2013-04-05,NFP,08:30,BLS rule (approximate)
2013-05-01,FOMC,14:00,Fed meeting calendar
2013-05-03,NFP,08:30,BLS rule (approximate)
2013-06-07,NFP,08:30,BLS rule (approximate)
2013-06-19,FOMC,14:00,Fed meeting calendar
2013-07-05,NFP,08:30,BLS rule (approximate)
2013-07-31,FOMC,14:00,Fed meeting calendar
2013-08-02,NFP,08:30,BLS rule (approximate)
2013-09-06,NFP,08:30,BLS rule (approximate)
2013-09-18,FOMC,14:00,Fed meeting calendar
2013-10-22,NFP,08:30,BLS (shutdown-adjusted)
2013-10-30,FOMC,14:00,Fed meeting calendar
2013-11-08,NFP,08:30,BLS (shutdown-adjusted)
2013-12-06,NFP,08:30,BLS rule (approximate)
2013-12-18,FOMC,14:00,Fed meeting calendar
2014-01-10,NFP,08:30,BLS rule (approximate)
2014-01-29,FOMC,14:00,Fed meeting calendar
2014-02-07,NFP,08:30,BLS rule (approximate)
2014-03-07,NFP,08:30,BLS rule (approximate)
2014-03-19,FOMC,14:00,Fed meeting calendar
2014-04-04,NFP,08:30,BLS rule (approximate)
2014-04-30,FOMC,14:00,Fed meeting calendar
2014-05-02,NFP,08:30,BLS rule (approximate)
2014-06-06,NFP,08:30,BLS rule (approximate)
2014-06-18,FOMC,14:00,Fed meeting calendar
2014-07-03,NFP,08:30,BLS rule (approximate)
2014-07-30,FOMC,14:00,Fed meeting calendar
2014-08-01,NFP,08:30,BLS rule (approximate)
2014-09-05,NFP,08:30,BLS rule (approximate)
2014-09-17,FOMC,14:00,Fed meeting calendar
2014-10-03,NFP,08:30,BLS rule (approximate)
2014-10-29,FOMC,14:00,Fed meeting calendar
2014-11-07,NFP,08:30,BLS rule (approximate)
2014-12-05,NFP,08:30,BLS rule (approximate)
2014-12-17,FOMC,14:00,Fed meeting calendar
2015-01-09,NFP,08:30,BLS rule (approximate)
2015-01-28,FOMC,14:00,Fed meeting calendar
2015-02-06,NFP,08:30,BLS rule (approximate)
2015-03-06,NFP,08:30,BLS rule (approximate)
2015-03-18,FOMC,14:00,Fed meeting calendar
2015-04-03,NFP,08:30,BLS rule (approximate)
2015-04-29,FOMC,14:00,Fed meeting calendar
2015-05-08,NFP,08:30,BLS rule (approximate)
2015-06-05,NFP,08:30,BLS rule (approximate)
2015-06-17,FOMC,14:00,Fed meeting calendar
2015-07-02,NFP,08:30,BLS rule (approximate)
2015-07-29,FOMC,14:00,Fed meeting calendar
